Title,averageRating,voteCount
Diary of a Wimpy Kid,6.3,279
God's Not Dead: A Light in Darkness,6.9,165
The Predator,5.6,3964
The Secret Life of Pets 2,7,2576
Sex Appeal,6.7,157
The Grey,6.6,3352
Chip and Potato: Chip's Holiday,5.3,6
The Chronicles of Narnia: Prince Caspian,6.6,5497
That's My Boy,5.8,1545
Fifty Shades of Black,4.8,1192
The Polar Express,6.7,5242
Kung Fu Panda 3,6.9,4885
Prince of Persia: The Sands of Time,6.2,6001
Star Wars,8.2,17825
Blade,6.7,4991
The Wizard of Oz,7.6,4673
Public Enemies,6.7,3852
Mission: Impossible - Ghost Protocol,7,8543
Zack and Miri Make a Porno,6.3,1980
American Pie,6.5,6666
Last Shoot Out,6.5,129
Beauty and the Beast,7,14331
Lolita,7.1,1402
The Final Destination,5.6,2686
Annapolis,6.5,375
American Reunion,6.3,3907
The Great Wall,6,4421
Hotel Transylvania,7,7578
Dangerous,6.2,335
The Notebook,7.9,9877
Jolt,6.7,980
Descendants 3,7.8,1267
Aquaman,6.9,12124
"Happy Halloween, Scooby-Doo!",7.9,197
Final Destination 2,6.2,3341
Django Unchained,8.2,23167
Straight Outta Compton,7.8,3312
Olympus Has Fallen,6.4,5849
Time Is Up,6.4,456
The Discovery,6.3,1131
Upside-Down Magic,7.2,206
Thir13en Ghosts,6.2,1705
Don't Look Up,7.2,6120
Terminator: Dark Fate,6.5,4218
Underworld: Awakening,6.3,3579
The Expendables 2,6.3,5891
No One Gets Out Alive,6,467
The Cat in the Hat,5.3,1377
L.O.L. Surprise: The Movie,6.9,119
Overcomer,7.7,207
The Hunger Games: Mockingjay - Part 2,6.9,10837
Van Helsing,6.3,5006
Motherly,6,8
Godzilla,6.3,7845
We Bare Bears: The Movie,7.8,732
Love & Other Drugs,7,4363
Scream 4,6.4,2824
Deinfluencer,6,1
G.I. Joe: The Rise of Cobra,5.8,4045
Conan the Barbarian,5.3,1608
Secret Society of Second Born Royals,6.8,458
Pulp Fiction,8.5,23963
The Martian,7.7,17482
Lucy,6.4,14416
Bambi,7,4873
The Tax Collector,5.7,382
Trick 'r Treat,7,1484
Skyfall,7.2,13820
Spirit Halloween: The Movie,6.6,16
Miracles from Heaven,7.4,1021
Ghost Rider,5.5,5051
Paul,6.7,4940
White House Down,6.4,4148
Teen Titans Go! See Space Jam,6.7,190
Cirque du Freak: The Vampire's Assistant,5.8,922
Final Destination 5,6.1,2822
Terminator 2: Judgment Day,8.1,10775
SAS: Red Notice,5.9,401
The Weekend Away,6,508
Insurgent,6.4,9080
We Can Be Heroes,6.2,635
Godmothered,6.9,507
Superman: Doomsday,6.7,505
Jonah Hex,4.9,1229
22 vs. Earth,7.1,316
Dumbo,7,4273
Baywatch,6.1,7142
One Hundred and One Dalmatians,7.2,5422
Universal Soldier: Regeneration,5.6,357
Man on Fire,7.4,4294
A Nun's Curse,6.2,94
Not Okay,6.5,275
Rogue Hostage,6,141
Voyagers,6.1,590
Tentacles,6.2,91
Trigger Point,6.5,117
The Devil Wears Prada,7.4,10323
Beetlejuice,7.4,5656
Amsterdam,5.9,61
Secret of the Wings,7.1,995
Vivo,7.4,585
Monster House,6.7,3337
Rambo,6.6,3204
Finding Grace,5.8,18
The Wonderful Summer of Mickey Mouse,6.1,8
Megamind,6.9,5837
The Lion King 1½,6.6,2606
The Kissing Booth,7.3,6660
Rio 2,6.5,2930
America: The Motion Picture,5.8,180
Peter Pan,7.2,4652
Avengers: The Kang Dynasty,0,0
The Fourth Kind,6.3,1421
